id,api_id,name,address_line1,address_line2,city,county,postcode,nation,country,full_address,latitude,longitude,website,store_url
30088,/api/store_locators/30088,CM Flooring,Unit 9 Bessemer Court,"Hounsgill Industrial Park, Knitsley Lane",Consett,England,DH8 7BL,England,United Kingdom,"Unit 9 Bessemer Court, Hounsgill Industrial Park, Knitsley Lane, Consett, England, DH8 7BL, United Kingdom",54.831928,-1.836450,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/consett/30088-cm-flooring?locale=en_GB
29858,/api/store_locators/29858,Coldbath Flooring,135 Cold Bath Rd,,Harrogate,England,HG2 0NU,England,United Kingdom,"135 Cold Bath Rd, Harrogate, England, HG2 0NU, United Kingdom",53.98854,-1.54919,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/harrogate/29858-coldbath-flooring?locale=en_GB
29738,/api/store_locators/29738,Contract Flooring Holdings Ltd,The Chapel Offices,Chapel Road,Camborne,England,TR14 8QX,England,United Kingdom,"The Chapel Offices, Chapel Road, Camborne, England, TR14 8QX, United Kingdom",50.223397,-5.280939,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/camborne/29738-contract-flooring-holdings-ltd?locale=en_GB
29907,/api/store_locators/29907,Corraff Carpets,51 The Market Place,,Greater London,England,NW11 6JT,England,United Kingdom,"51 The Market Place, Greater London, England, NW11 6JT, United Kingdom",51.586472,-0.188470,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/greater-london/29907-corraff-carpets?locale=en_GB
30186,/api/store_locators/30186,County Carpets,Unit 9 The Bourne Centre,,Salisbury,England,SP1 2NY,England,United Kingdom,"Unit 9 The Bourne Centre, Salisbury, England, SP1 2NY, United Kingdom",51.061138,-1.775630,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/salisbury/30186-county-carpets?locale=en_GB
29722,/api/store_locators/29722,County Flooring & Supplies,Clarke Road,,Nottingham,England,NG2 3JJ,England,United Kingdom,"Clarke Road, Nottingham, England, NG2 3JJ, United Kingdom",52.9447891,-1.1350562,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/nottingham/29722-county-flooring-supplies?locale=en_GB
29740,/api/store_locators/29740,Crawley Carpet Warehouse,Unit 7 Little Park Centre; Charlwood Road,,Crawley,England,RH11 0JZ,England,United Kingdom,"Unit 7 Little Park Centre; Charlwood Road, Crawley, England, RH11 0JZ, United Kingdom",51.1418208,-0.2275122,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/crawley/29740-crawley-carpet-warehouse?locale=en_GB
29886,/api/store_locators/29886,Custom Flooring Ltd,Unit 9B Southwick Industrial Estate,,Sunderland,England,SR5 3TX,England,United Kingdom,"Unit 9B Southwick Industrial Estate, Sunderland, England, SR5 3TX, United Kingdom",54.921300,-1.414230,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/sunderland/29886-custom-flooring-ltd?locale=en_GB
30087,/api/store_locators/30087,Cut Price Carpets & Flooring,250 Normanby Road,South Bank,Middlesbrough,England,TS6 6TD,England,United Kingdom,"250 Normanby Road, South Bank, Middlesbrough, England, TS6 6TD, United Kingdom",54.569538,-1.167080,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/middlesbrough/30087-cut-price-carpets-flooring?locale=en_GB
29890,/api/store_locators/29890,DGN Interiors,25A Shaw Road,,Wolverhampton,England,WV2 3EL,England,United Kingdom,"25A Shaw Road, Wolverhampton, England, WV2 3EL, United Kingdom",52.568800,-2.127130,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/wolverhampton/29890-dgn-interiors?locale=en_GB
29669,/api/store_locators/29669,Drapers Carpets,Unit 3C/Larpool La Ind Est,,Whitby,North Yorkshire,YO22 4LX,England,United Kingdom,"Unit 3C/Larpool La Ind Est, Whitby, North Yorkshire, YO22 4LX, United Kingdom",54.4773029,-0.6092755,www.drapersofwhitby.com,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/north-yorkshire/whitby/29669-drapers-carpets?locale=en_GB
